category,label,agent,text,text_coref,segmentation,episode,podcast,pod_cat,language,ClaimBuster,ClaimBuster COREF,Motivation,ClaimSpan
Not Checkworthy,Personal Experience,Adam,So it just creates all these new problems that we have to solve to ensure that every person can be healthy and healthy and safe.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.024062536,,,
Checkworthy,Factual Descriptions,Adam,"And at the same time, the current problems persist, whether it's, like I said, issues with rent, economic security, so forth, disability services.",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.403451499,,Controversial,
Checkworthy,Factual Descriptions,Adam,Those problems also continue to exist and are unaddressed by the Republican supermajority.,the current problems also continue to exist and are unaddressed by the Republican supermajority.,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.3692198,0.490372126,Controversial,
Not Checkworthy,Not a Claim,Adam,"Well, yeah.",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.184814806,,,
Not Checkworthy,Not a Claim,Adam,I want to ask you about something that you posted on Blue Sky the other day.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.020662904,,,
Checkworthy,Factual Descriptions,Adam,"For those people who don't know, Blue Sky is a new social media app, sort of like Twitter.",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.166685687,,Confirm True,
Checkworthy,Quotation,Adam,"You posted, or skeeted, as they say, Republican politicians have used inaccurate and sensational rhetoric like mutilation to describe gender-affirming care.",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.505873283,,Confirm True,
Checkworthy,Quotation,Adam,"Meanwhile, mutilation is exactly what an assault weapon does to a child's body.",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.376728861,,Confirm True,
Checkworthy,Quotation,Adam,I am sick of the distractive culture wars when we have real problems to solve.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.056820827,,Confirm True,
Not Checkworthy,Emotions and Opinions,Adam,And that's exactly what you're getting at here.,And the distractive culture wars when we have real problems to solve's exactly what you're getting at here.,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.09377372,0.05213323,,
Not Checkworthy,Emotions and Opinions,Adam,Exactly.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.282670384,,,
Checkworthy,Factual Descriptions,Adam,"I mean, watching the images out of the most recent mass shooting in Texas at a mall, and I'm sure many of us saw it, whether it was something we clicked on or not, screenshots and the video of those that were murdered, and including children.",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.855191193,,Surprising,"[{""start"":20,""end"":241}]"
Checkworthy,Quotation,Adam,And also reading the testimony of everyday people who became first responders and turned over a child's body to see no face.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.648177798,,Surprising,
Not Checkworthy,Emotions and Opinions,Adam,"I mean, it's so upsetting.",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.175186448,,,
Checkworthy,Factual Descriptions,Adam,And Pulse nightclub is in my district.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.35921377,,Confirm True,
Not Checkworthy,Emotions and Opinions,Adam,And so I'm very passionate about gun safety.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.204813989,,,
Checkworthy,Factual Descriptions,Adam,I have filed the assault weapons ban here in Florida.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.764177362,,Confirm True,
Not Checkworthy,Emotions and Opinions,Adam,"And I just think that these are weapons of murder that should not be in our streets, bottom line.",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.250783628,,,
Not Checkworthy,Emotions and Opinions,Adam,"And again, it's just so disgusting when my colleagues will use terminology that is inaccurate to describe what is health care for individuals that are diagnosed with gender dysphoria, which, by the way, it's the same talking points for abortion.",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.324301908,,,
Not Checkworthy,Emotions and Opinions,Adam,"Like so many of the talking points and rhetoric used to demonize gender-affirming care, it's the same playbook with abortion.",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.23721629,,,
Not Checkworthy,Emotions and Opinions,Adam,They sensationalize it.,They sensationalize abortion.,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.345100343,0.419887039,,
Not Checkworthy,Emotions and Opinions,Adam,They dramatize it.,They dramatize abortion.,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.297606888,0.32929346,,
Checkworthy,Quotation,Adam,They use medically inaccurate terminology.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.354454091,,Confirm True,
Not Checkworthy,Emotions and Opinions,Adam,"And the sad reality is that if you really cared about, quote, the mutilation of children, then you would do something about stopping gun violence in America.",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.330263153,,,
Not Checkworthy,Emotions and Opinions,Adam,Because that is truly mutilation of our children.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.210807803,,,
Checkworthy,Numerical Claims,Adam,And it's actively killing and creating a generation of trauma for Generation Z and those that come after.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.56946391,,Controversial,
Not Checkworthy,Emotions and Opinions,Adam,And the lack of courage and just the complete disregard for solving this crisis is just something that I can't.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.037657552,,,
Not Checkworthy,Personal Experience,Adam,It keeps me up at night thinking about it because each one of us are just a day away from gun violence.,It keeps me up at night thinking about the lack of courage and just the complete disregard for solving this crisis because each one of us are just a day away from gun violence.,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.331584494,0.243489501,,
Not Checkworthy,Personal Experience,Adam,"I mean, I actually not only have experienced a mass shooting in my community with Pulse, but I have been evacuated before because of an almost active shooter at my college campus.","I mean, I actually not only have experienced a mass shooting in my community with Pulse nightclub, but I have been evacuated before because of an almost active shooter at my college campus.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.651386355,0.737391448,,
Checkworthy,Factual Descriptions,Adam,And I'm a millennial.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.227412279,,Confirm True,
Not Checkworthy,Emotions and Opinions,Adam,"For those that are Gen Z, it's even more common for them.","For those that are Gen Z, it's even more common for those that are Gen Z.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.668255389,0.605506404,,
Not Checkworthy,Emotions and Opinions,Adam,"And it's just so upsetting, the lack of courage on this.","For those that are Gen Z, it's even more common for those that are Gen Z. And it's just so upsetting, the lack of courage on this.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.111698624,0.121662849,,
Not Checkworthy,Emotions and Opinions,Adam,"And yeah, just the hypocrisy of it, too.","And yeah, just the hypocrisy of the lack of courage on this, too.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.172461315,0.085735559,,
Not Checkworthy,Broadcast Details,Adam,I've been talking to Florida State Representative Ana Eskamani.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.08300811,,,
Not Checkworthy,Broadcast Details,Adam,"Ana, thank you so much for being here and for fighting hard against the insanity on the other side of the aisle down there.","Florida State Representative Ana Eskamani, thank Florida State Representative Ana Eskamani so much for being here and for fighting hard against the insanity on the other side of the aisle down there.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.045942967,0.050268876,,
Not Checkworthy,Emotions and Opinions,Adam,I really appreciate it.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.033259072,,,
Not Checkworthy,Broadcast Details,Adam,Thanks for having me.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.051487254,,,
Not Checkworthy,Emotions and Opinions,Adam,And we appreciate all the good vibes coming down to Florida.,And we appreciate all the good vibes coming down to Florida's.,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.088368972,0.088368972,,
Not Checkworthy,Emotions and Opinions,Adam,We need it.,We need all the good vibes coming down to Florida.,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.053358999,0.097459663,,
Not Checkworthy,Broadcast Details,Adam,Danielle Moody.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.216788739,,,
Not Checkworthy,Broadcast Details,Adam,"Andy, how are you kicking off this fucking week with your Fuck That Guy?","Andy Levy, how are Andy Levy kicking off this fucking week with Andy Levy's Fuck That Guy?",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.066500731,0.091811586,,
Not Checkworthy,Broadcast Details,Adam,I'm kicking us off with some Hitler lovers.,Andy Levy'm kicking us off with some Hitler lovers.,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.333711623,0.57861779,,
Not Checkworthy,Broadcast Details,Adam,"Oh, Jesus.",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.159436595,,,
Checkworthy,Factual Descriptions,Adam,"And these are two people who both have shows on the streaming site Rumble, which is like a sort of right-wing YouTube.","And some Hitler lovers are two people who both have shows on the streaming site Rumble, which is like a sort of right-wing YouTube.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.257336175,0.402191876,Learn More,
Checkworthy,Factual Descriptions,Adam,And one is named Scott McKay.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.233344426,,Learn More,
Checkworthy,Quotation,Adam,"And he has said things along the lines of, I don't know, the Jews orchestrated 9-11, the Jews killed Abe Lincoln, JFK, and William McKinley, because who can forget William McKinley?",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.878560823,,Discrimination,
Checkworthy,Quotation,Adam,And that Jews routinely torture children and eat their hearts.,And that Jews routinely torture children and eat children's hearts.,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.614281093,0.568494487,Discrimination,
Checkworthy,Quotation,Adam,"He has praised Hitler, saying that Hitler was actually fighting the same people that we're trying to take down today.",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.866159736,,Discrimination,
Checkworthy,Factual Descriptions,Adam,This is all per Media Matters.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.317657573,,Learn More,
Checkworthy,Factual Descriptions,Adam,And the other guy is a guy named Charlie Ward.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.090812249,,Confirm True,
Checkworthy,Quotation,Adam,He has shared posts that praise Hitler for warning us about Judaism.,the other guy has shared posts that praise Hitler for warning us about Judaism.,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.881197905,0.753237845,Discrimination,
Checkworthy,Quotation,Adam,"He has claimed that viruses are man, and then in parentheses, Jew, made.","the other guy has claimed that viruses are man, and then in parentheses, Jew, made.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.583159498,0.632900901,Discrimination,
Checkworthy,Quotation,Adam,And he has gone after the quote-unquote Jewish media for lying about the Holocaust.,And the other guy has gone after the quote-unquote Jewish media for lying about the Holocaust.,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.897615485,0.911032249,Discrimination,
Not Checkworthy,Broadcast Details,Adam,"Why am I drawing attention to these two people, Danielle, is probably what you're asking right now.","drawing attention to two people who both have shows on the streaming site Rumble, which is like a sort of right-wing YouTube, Danielle Moody., is probably what Danielle Moody.'re asking right now.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.020696918,0.112324946,,
Checkworthy,Factual Descriptions,Adam,It is because these two people will be speaking at the Trump National Doral Resort at an event in Miami.,It is because some Hitler lovers will be speaking at the Trump National Doral Resort at an event in Miami.,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.204480879,0.426372605,Surprising,
Checkworthy,Factual Descriptions,Adam,"And other speakers at that event include Eric Trump, Lara Trump, and Devin Nunes.","And other speakers at an event in Miami include Eric Trump, Lara Trump, and Devin Nunes.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.097736488,0.185194226,Surprising,
Not Checkworthy,Emotions and Opinions,Adam,"Wow, that's a wagon full of shit.",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.134872094,,,
Not Checkworthy,Emotions and Opinions,Adam,"Yeah, so this is where we're at now.",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.13964403,,,
Checkworthy,Factual Descriptions,Adam,"We got the Trump family sharing a podium at a thing called the Reawaken America Tour, which, considering how anti-woke these people are...",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.464681535,,Confirm True,
Not Checkworthy,Emotions and Opinions,Adam,"I know, that just doesn't even make sense.",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.079655257,,,
Not Checkworthy,Emotions and Opinions,Adam,"Yeah, I'm not really clear about this.","Yeah, Danielle Moody.'m not really clear about this.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.139507572,0.19560908,,
Not Checkworthy,Emotions and Opinions,Adam,Maybe it sounds better in German.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.107114601,,,
Checkworthy,Factual Descriptions,Adam,"So you've got Michael Flynn's gonna be speaking there, Peter Navarro, former acting Attorney General Matt Whitaker, Roger Stone, and then you've got the Hitler lovers right next to them on the podium, sharing the same space.","So you've got Michael Flynn's gonna be speaking there, Peter Navarro, former acting Attorney General Matt Whitaker, Roger Stone, and then you've got the Hitler lovers right next to them on a podium, sharing the same space.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.143430864,0.144065312,Surprising,
Not Checkworthy,Emotions and Opinions,Adam,"So my fuck-that guy goes out to the Trump family, it goes out to the Republican Party that makes room in its big camp for these people.","So Andy Levy.'s fuck-that guy goes out to the Trump family, it goes out to the Republican Party that makes room in the Republican Party that makes room in its big camp for these people's big camp for these people.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.106118497,0.124043551,,
Checkworthy,Factual Descriptions,Adam,"And it also, just as an aside, goes out to groups like the Republican Jewish Coalition, who continue to break bread with the Republican Party, even though the Republican Party is the home of and is welcoming to people like this.","And that guy also, just as an aside, goes out to groups like the Republican Jewish Coalition, who continue to break bread with the Republican Party that makes room in its big camp for these people, even though the Republican Party that makes room in its big camp for these people is the home of and is welcoming to people like this.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.703702118,0.759891571,Controversial,
Not Checkworthy,Emotions and Opinions,Adam,"So it's sort of a mass fuck-that guy for today, but fuck all those guys and groups.",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.180731351,,,
Not Checkworthy,Emotions and Opinions,Adam,I like your big tent of fuck-it.,like your big tent of fuck-it.,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.08884523,0.122240611,,
Not Checkworthy,Emotions and Opinions,Adam,Thank you.,Thank Andy.,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.058764574,0.125510156,,
Not Checkworthy,Emotions and Opinions,Adam,I think that it is great to include all people.,Andy Levy think that it is great to include all people.,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.028788625,0.044437987,,
Not Checkworthy,Emotions and Opinions,Adam,It's an orgy is what it is.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.235415661,,,
Not Checkworthy,Emotions and Opinions,Adam,"Yeah, a fuckery.",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.2326731,,,
Not Checkworthy,Emotions and Opinions,Adam,Yes.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.209681241,,,
Not Checkworthy,Emotions and Opinions,Adam,I love that.,love that.,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.045833669,0.110415539,,
Not Checkworthy,Broadcast Details,Adam,"So who is your fuck-that guy, Danielle?","So who is Danielle Moody.'s fuck-that guy, Danielle Moody.?",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.031116325,0.034976149,,
Not Checkworthy,Personal Experience,Adam,I too am a big tent person.,too am a big tent person.,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.107550468,0.081298098,,
Not Checkworthy,Emotions and Opinions,Adam,"So I'd like to say collectively the entire state of Texas, but I know that there are good people that happen to live there or are trapped, however you want to say it.","know that there are good people that happen to live there or are trapped, however you want to say it.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.070360294,0.028119874,,
Not Checkworthy,Emotions and Opinions,Adam,"But my fuck-that guy is a hall of famer, if you will, Governor Greg Abbott.","But Danielle Moody.'s fuck-that guy is a hall of famer, if you will, Governor Greg Abbott.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.04456574,0.128978832,,
Checkworthy,Quotation,Adam,"Once again, there is another mass shooting that we talked about at the top that happens in his state that he will do nothing about except to tweet and say, this is an unspeakable act.","Once again, there is another mass shooting that we talked about at the top that happens in a hall of famer, if you will, Governor Greg Abbott's state that a hall of famer, if you will, Governor Greg Abbott will do nothing about except to tweet and say, this is an unspeakable act.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.522648546,0.486557311,Confirm True,
Not Checkworthy,Emotions and Opinions,Adam,"And I'm like, bitch, I wish you would speak on it.","wish a hall of famer, if you will, Governor Greg Abbott would speak on it.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.080643582,0.037046725,,
Checkworthy,Quotation,Adam,I wish you would offer some type of fucking policy ideas other than saying that it's unspeakable.,"wish a hall of famer, if you will, Governor Greg Abbott would offer some type of fucking policy ideas other than saying that it's unspeakable.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.083819829,0.085864538,Controversial,
Checkworthy,Numerical Claims,Adam,How could something continue to be unspeakable when it happens literally every week?,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.031576718,,Learn More,
Checkworthy,Quotation,Adam,"Like in your state, I'm outdone by the fact that he, along with the Texas Republican-controlled Senate, just passed a bill that would allow for his appointees, Greg Abbott's appointees, to overturn elections in Harris County, which is a county that Democrats performed really well in, according to ABC 13.","Like in Danielle Moody.'s state, Danielle Moody.'m outdone by the fact that a hall of famer, if you will, Governor Greg Abbott, along with the Texas Republican-controlled Senate, just passed a bill that would allow for a hall of famer, if you will, Governor Greg Abbott's appointees, a hall of famer, if you will, Governor Greg Abbott's appointees, to overturn elections in Harris County, which is a county that Democrats performed really well in, according to ABC 13.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.944816052,0.937643496,Surprising,"[{""start"":49,""end"":224}]"
Not Checkworthy,Emotions and Opinions,Adam,"And so those people now, their vote is null and void because if it doesn't move alongside in alignment with what Republicans in that state want, then it doesn't matter,","And so those people now, those people's vote is null and void because if their vote doesn't move alongside in alignment with what Republicans in the entire state of Texas want, then their vote doesn't matter,",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.557070611,0.752600208,,
Not Checkworthy,Not a Claim,Adam,right?,"And so those people now, those people's vote is null and void because if their vote doesn't move alongside in alignment with what Republicans in the entire state of Texas want, then their vote doesn't matter, right?",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.161475016,0.743033461,,
Checkworthy,Factual Descriptions,Adam,So those people no longer have the right to vote.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.392803348,,Precision,
Not Checkworthy,Emotions and Opinions,Adam,I hope they recognize that.,hope those people recognize that.,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.049642269,0.02753359,,
Checkworthy,Factual Descriptions,Adam,"Tie that into the fact that they are also passing legislation three days before the Allen, Texas mass shooting that would allow for people to get a gun without a permit and without any training in this state.","Tie that into the fact that the Texas Republican-controlled Senate are also passing legislation three days before the Allen, the entire state of Texas mass shooting that would allow for people to get a gun without a permit and without any training in Florida.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.917551583,0.920195647,Confirm True,
Not Checkworthy,Emotions and Opinions,Adam,"And so I guess that the entire goal is to drive Democrats, drive progressive, drive people who care about their lives out of that state.","guess that the entire goal is to drive Democrats, drive progressive, drive people who care about people who care about their lives's lives out of the entire state of Texas.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.112182586,0.19201627,,
Not Checkworthy,Predictions,Adam,I think that the short-term game that Republicans are playing is not gonna play out in the long-term.,think that the short-term game that Republicans are playing is not gonna play out in the long-term.,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.070846648,0.098596732,,
Not Checkworthy,Predictions,Adam,So we will see.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.139553536,,,
Not Checkworthy,Emotions and Opinions,Adam,"But my God, fuck you, Greg Abbott, you piece of shit.","But Danielle's God, fuck you, a hall of famer, if you will, Governor Greg Abbott, a hall of famer, if you will, Governor Greg Abbott.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.094759562,0.032403004,,
Not Checkworthy,Emotions and Opinions,Adam,Fuck all of the Republican-controlled Senate.,Fuck all of the Texas Republican-controlled Senate.,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.344712494,0.484884786,,
Not Checkworthy,Emotions and Opinions,Adam,You don't care.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.091067696,,,
Not Checkworthy,Emotions and Opinions,Adam,You don't care about your consent.,"a hall of famer, if you will, Governor Greg Abbott don't care about your consent.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.10119981,0.068394513,,
Not Checkworthy,Emotions and Opinions,Adam,You don't care about people.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.053080222,,,
Not Checkworthy,Emotions and Opinions,Adam,You don't care about humanity at this point.,Governor Greg Abbott don't care about humanity at this point.,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.054307377,0.114134638,,
Not Checkworthy,Emotions and Opinions,Adam,"It's really, I am at a loss for words.",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.100150497,,,
Not Checkworthy,Emotions and Opinions,Adam,"Shameful, isn't it?",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.145838712,,,
Not Checkworthy,Emotions and Opinions,Adam,"Disgusting, isn't it?",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.253009421,,,
Not Checkworthy,Emotions and Opinions,Adam,"Cruel, isn't it?",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.232741753,,,
Not Checkworthy,Emotions and Opinions,Adam,"Because nothing can encompass really, truly what they are doing to the people in that state.","Because nothing can encompass really, truly what Republicans are doing to the people in the entire state of Texas.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.139168593,0.293808004,,
Not Checkworthy,Emotions and Opinions,Adam,"So fuck you, Greg Abbott.","So fuck Governor Greg Abbott, Governor Greg Abbott.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.15821883,0.168963712,,
Not Checkworthy,Personal Experience,Adam,"Yeah, I think that was so perfectly said.",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.062836135,,,
Not Checkworthy,Broadcast Details,Adam,Hope you enjoyed checking out this episode of The New Abnormal.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.029240133,,,
Not Checkworthy,Broadcast Details,Adam,"We're back every Tuesday, Friday, and Sunday.",,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.227085905,,,
Not Checkworthy,Broadcast Details,Adam,"If you enjoyed it, please share it with a friend and keep the conversation going.","If you enjoyed this episode of The New Abnormal, please share this episode of The New Abnormal with a friend and keep the conversation going.",CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.035017929,0.046416827,,
Not Checkworthy,Broadcast Details,Adam,This podcast is a Daily Beast production with production by Jesse Cannon and Seamus Calder.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.582803087,,,
Not Checkworthy,Broadcast Details,Adam,We have 16 gigabytes.,,CW/MOT ALL,Florida’s House Republicans Are Even Worse Behind the Scenes,The New Abnormal,politics,en,0.908549952,,,
