text,utt_id,seg_name,ep_name,pod_name,lang,cat,judgement,edit,agent
It's just such an awful human being.,1735853,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,He's just such an awful human being.,62b0e8841b9e4f974007ca98
"He's wearing like Nirvana T-shirt, flip-flops, flip-flops, and a too tight T-shirt.",1735970,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"He's wearing like Nirvana T-shirt, flip-flops, and a too tight T-shirt.",62b0e8841b9e4f974007ca98
"He's wearing like Nirvana T-shirt, flip-flops, flip-flops, and a too tight T-shirt.",1735970,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"He's wearing like Nirvana T-shirt, flip-flops. Flip-flops, and a too tight T-shirt.",62b0e8841b9e4f974007ca98
Hide some extra money under the mattress for those Pots of America tickets.,1736664,ProlificP TR/DI/AD,Trump’s CNN Clown Hall,Pod Save America,en,politics,Confirm Edit,Hide some extra money under the mattress for those Pod Save America tickets.,5d54d5d907e8740018e56545
Hide some extra money under the mattress for those Pots of America tickets.,1736664,ProlificP TR/DI/AD,Trump’s CNN Clown Hall,Pod Save America,en,politics,Confirm Edit,Hide some extra money under the mattress for those Pod Save America tickets.,5d54d5d907e8740018e56545
Hide some extra money under the mattress for those Pots of America tickets.,1736664,ProlificP TR/DI/AD,Trump’s CNN Clown Hall,Pod Save America,en,politics,Confirm Edit,Hide some extra money under the mattress for those Pod Save America tickets.,5d54d5d907e8740018e56545
His Department of Justice didn't prosecute him.,1731849,ProlificP TR/DI/AD,Deep Dive into Hunter Biden & the Weaponization of the Federal Government: Part 2 with Jim Jordan,Verdict with Ted Cruz,en,politics,Confirm Edit,His Department of Justice didn't prosecute her.,6070e23a3e478af6a585c330
"His name, one junior.",1735815,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"His name, Juan Junior.",62b0e8841b9e4f974007ca98
"His name, one junior.",1735815,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"His name, Juan Junior.",62b0e8841b9e4f974007ca98
I didn't get that thing.,1736179,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,How do you even get that thing?,62b0e8841b9e4f974007ca98
I didn't get that thing.,1736179,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,How do you even get that thing?,62b0e8841b9e4f974007ca98
How the Tories made this such an issue?,1736517,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,How have the Tories made this such an issue?,62b0e8841b9e4f974007ca98
I agreed to sign a sign.,1731167,ProlificP TR/DI/AD,Hunter Biden Bombshells plus Rep. Jim Jordan Joins Us for Deep Dive on Biden Crime Family Part 1,Verdict with Ted Cruz,en,politics,Confirm Edit,I agreed to sign.,614f70b55373b6760cb9d5c9
I bet you did.,1736338,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I bet he did.,62b0e8841b9e4f974007ca98
I bet you did.,1736336,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I bet he did. I bet you he did.,62b0e8841b9e4f974007ca98
I bet you billionaire said.,1736335,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I bet you. Billionaire sex.,62b0e8841b9e4f974007ca98
I did not see it.,1736184,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I did not see it, no.",62b0e8841b9e4f974007ca98
I don't keep saying this thing that like what what fucking bodies over there?,1736135,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I don't he keeps saying this thing that like what what fucking bodies over there?,62b0e8841b9e4f974007ca98
I don't I don't fucking live here with people.,1736098,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I don't I don't fucking live here with you people.,62b0e8841b9e4f974007ca98
I don't I don't fucking live here with people.,1736098,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I don't I don't fucking live here with you people.,62b0e8841b9e4f974007ca98
I don't know.,1736032,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I don't know if,62b0e8841b9e4f974007ca98
And I know that was just nerve wracking to me.,1735679,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I don't know. That was just nerve-wracking to me.,62b0e8841b9e4f974007ca98
Even I don't like either.,1735700,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I don't like either.,62b0e8841b9e4f974007ca98
Even I don't like either.,1735700,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I don't like either.,62b0e8841b9e4f974007ca98
I feel like they got they got they got above 40 and they had themselves in the back.,1736072,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I feel like they got they got they got about 40 and they pat themselves on the back.,62b0e8841b9e4f974007ca98
I feel like they got they got they got above 40 and they had themselves in the back.,1736072,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I feel like they got they got they got above 40 and they patted themselves on the back.,62b0e8841b9e4f974007ca98
"I forget how the sentence exactly went, but it was something to the effect on abortion, on marriage.",1731660,ProlificP TR/DI/AD,Deep Dive into Hunter Biden & the Weaponization of the Federal Government: Part 2 with Jim Jordan,Verdict with Ted Cruz,en,politics,Confirm Edit,"I forget how the sentence exactly went, but it was something to the effect on abortion, on on marriage.",6070e23a3e478af6a585c330
"I got bare knuckle brawlers standing by to fight allies, friends, sources close to Tucker.",1736170,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I got bare knuckle brawlers standing by to fight.,62b0e8841b9e4f974007ca98
"I got to check with Obama because I do think that for a lot of presidents, they're they're honest and trustworthy.",1735671,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I got to check with Obama because I do think that for a lot of presidents, their their honest and trustworthy",62b0e8841b9e4f974007ca98
I guess it's a little less than a year ago when when Joe Biden stood in front of Independence Hall and called half the country fascist.,1731610,ProlificP TR/DI/AD,Deep Dive into Hunter Biden & the Weaponization of the Federal Government: Part 2 with Jim Jordan,Verdict with Ted Cruz,en,politics,Confirm Edit,I guess it's a little less than a year ago when Joe Biden stood in front of Independence Hall and called half the country fascist.,6070e23a3e478af6a585c330
You've got to just go hard and seem angry.,1736013,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I guess you've got to just go hard and seem angry.,62b0e8841b9e4f974007ca98
I feel like big shoes.,1735758,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I just feel like big shoes.,62b0e8841b9e4f974007ca98
I have images of BBC broadcasters kicking down your door and shoving a TV in your face to make you watch.,1736394,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I just have images of BBC broadcasters kicking down your door and shoving a TV in your face to make you watch.,62b0e8841b9e4f974007ca98
I like I think the gamesmanship is kind of I think it's fascinating.,1736118,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I like I think the gamesmanship is kind of interesting.,62b0e8841b9e4f974007ca98
I like I think the gamesmanship is kind of I think it's fascinating.,1736118,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I like I think the gamesmanship is kind of interesting. I think it's fascinating.,62b0e8841b9e4f974007ca98
I love it.,1735773,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I love,62b0e8841b9e4f974007ca98
I love that.,1735785,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I love that, though.",62b0e8841b9e4f974007ca98
I love it.,1735773,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I love this.,62b0e8841b9e4f974007ca98
"I mean, I think that there is there remains like a section of the public for whom the royal family, an incredibly important part of their of their lives.",1736389,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I mean, I think that there is there remains like a section of the public for whom the royal family are an incredibly important part of their of their lives.",62b0e8841b9e4f974007ca98
"I mean, Matt Gates is running your debate prep.",1736024,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I mean, Matt Gaetz is running your debate prep.",62b0e8841b9e4f974007ca98
"I mean, Matt Gates is running your debate prep.",1736024,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I mean, Matt Gaetz is running your debate prep?",62b0e8841b9e4f974007ca98
"I mean, similarly, the Mar-a-Lago case, I've always wondered whether people would really care whether or not he took classified documents.",1735909,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I mean, similarly, in the Mar-a-Lago case, I've always wondered whether people would really care whether or not he took classified documents.",62b0e8841b9e4f974007ca98
"I mean, like Jack Smith is flinging subpoenas like a like a blackjack dealer down there.",1735912,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I mean, the like Jack Smith is flinging subpoenas like a like a blackjack dealer down there.",62b0e8841b9e4f974007ca98
"I mean, there is look, Tucker Carlson will wind up on a rumble or a Daily Wire type outlet.",1736175,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I mean, there is look, Tucker Carlson will wind up on a Rumble or a Daily Wire type outlet.",62b0e8841b9e4f974007ca98
"I mean, these kinds of tapes leaking.",1736031,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I mean, these guys have tapes leaking.",62b0e8841b9e4f974007ca98
They never really believed that Trump took a bunch of classified documents to sell them to some other country or anything like that.,1735935,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I never really believed that Trump took a bunch of classified documents to sell them to some other country or anything like that.,62b0e8841b9e4f974007ca98
"Yeah, I one of the one of the reports was said that Daily Wire was like, I've been waiting for the fucking Tucker Carlson, Tucker Carlson caravan and the Ben Shapiro caravan.",1736173,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I one of the one of the reports that was said the Daily Wire was like, I've been waiting for the fucking Tucker Carlson, Tucker Carlson caravan and the Ben Shapiro caravan.",62b0e8841b9e4f974007ca98
"I realize it's a civil lawsuit, not criminal, but it's a pretty big deal if a jury decides that a former president is a rapist for the first time.",1735907,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I realize it's a civil lawsuit, not criminal, but it's pretty big deal if a jury decides that a former president is a rapist for the first time.",62b0e8841b9e4f974007ca98
"You know, I still don't see a path forward, though.",1736089,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I still don't see a path forward, though.",62b0e8841b9e4f974007ca98
"I think Caitlin Collins is, in my opinion, one of those people.",1736787,ProlificP TR/DI/AD,Trump’s CNN Clown Hall,Pod Save America,en,politics,Confirm Edit,"I think Kaitlan Collins is, in my opinion, one of those people.",5d58d7d6280de7001aa7952a
"I think Caitlin Collins is, in my opinion, one of those people.",1736787,ProlificP TR/DI/AD,Trump’s CNN Clown Hall,Pod Save America,en,politics,Confirm Edit,"I think Kaitlan Collins is, in my opinion, one of those people.",5d58d7d6280de7001aa7952a
"I think there was something revealing when when Gates is telling him, oh, you were too aggressive in what you just said.",1736004,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I think that there was something revealing when when Gates is telling him, oh, you were too aggressive in what you just said.",62b0e8841b9e4f974007ca98
I think the question really is whether his non-CBS prevents him from going to 60 minutes watching New York Times calm cancel culture run amok this week in the New York Times.,1736176,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I think the question really is whether his non-compete prevents him from going to- 60 minutes! A New York Times column! Cancel culture run amok this week in the New York Times!,62b0e8841b9e4f974007ca98
I think the question really is whether his non-CBS prevents him from going to 60 minutes watching New York Times calm cancel culture run amok this week in the New York Times.,1736176,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I think the question really is whether his noncompete prevents him from going to. 60 minutes. Washington New York Times column. Cancel culture run amok this week in the New York Times.,62b0e8841b9e4f974007ca98
"The saddest part of this also is now we are now in, we've been in weeks and weeks of stories about a lot of people calling for her to retire.",1736264,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I think the saddest part of this also, is now we are now in, we've been in weeks and weeks of stories about a lot of people calling for her to retire.",62b0e8841b9e4f974007ca98
"I think there was something revealing when when Gates is telling him, oh, you were too aggressive in what you just said.",1736004,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I think there was something revealing when when Gaetz is telling him, oh, you were too aggressive in what you just said.",62b0e8841b9e4f974007ca98
"Like, I think there's ways to help combat the perception that he is, you know, too old.",1735748,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Edit,I think there's limits to how many people are actually going to hear about these stories just because the way the media works so hard.,62b0e8841b9e4f974007ca98
I'm sure they're very frustrated because I think the economy has added 13 million jobs or just shy of 13 million jobs since he took office.,1735749,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Edit,I think there's limits to how many people are actually going to hear about these stories just because the way the media works so hard.,62b0e8841b9e4f974007ca98
I think there's limits to how many people are actually going to hear about these stories just because the way the media works so hard.,1735756,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Edit,I think there's limits to how many people are actually going to hear about these stories just because the way the media works so hard.,62b0e8841b9e4f974007ca98
"So, you know, that's why it's just a volume.",1735757,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Edit,I think there's limits to how many people are actually going to hear about these stories just because the way the media works so hard.,62b0e8841b9e4f974007ca98
I think there's limits to how many people are actually going to hear about these stories just because the way the media works so hard.,1735756,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I think there's limits to how many people are actually going to hear about these stories just because the way the media works.,62b0e8841b9e4f974007ca98
"I think that ultimately Joe Biden is going to say things are better, but they're not perfect.",1735704,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I think they'd ultimately, Joe Biden has got to say things are better, but they're not perfect.",62b0e8841b9e4f974007ca98
"Anyway, great news.",1735613,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Edit,I think they're listening.,62b0e8841b9e4f974007ca98
I think what I'm most interested in in all of this is which mainstream media outlets are willing to uncritically print everything Tucker's lawyer says bodies are buried.,1736169,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I think what I'm most interested in in all of this is which mainstream media outlets are willing to uncritically print everything Tucker's lawyer says. ""Bodies are buried.""",62b0e8841b9e4f974007ca98
"I think what's also exciting, what's also exciting to me about a two track strategy is you get to do something you get to do something that's I think classically American, which is you kick the can down the road and raise the stakes, which is a classic American can raise the grass and really make it worse.",1736123,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I think what's also exciting, what's also exciting to me about a two track strategy is you get to do something you get to do something that's I think classically American, which is you kick the can down the road and raise the stakes, which is a classic American. Kick the can, raise the stakes. Procrastinate and make it worse.",62b0e8841b9e4f974007ca98
"I think what's also exciting, what's also exciting to me about a two track strategy is you get to do something you get to do something that's I think classically American, which is you kick the can down the road and raise the stakes, which is a classic American can raise the grass and really make it worse.",1736123,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I think what's also exciting, what's also exciting to me about a two track strategy is you get to do something you get to do something that's I think classically American, which is you kick the can down the road and raise the stakes, which is a classic American. Procrastinate and make it worse.",62b0e8841b9e4f974007ca98
"I think when you walk up there, if you have a pad, you have to write in all caps at the top of the pad, likeable.",1735964,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I think when you walk up there, if you have a pad, you have to write in all caps at the top of the pad, ""likeable"".",62b0e8841b9e4f974007ca98
I want Fox News to win this.,1736159,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I want Fox News to win this one.,62b0e8841b9e4f974007ca98
"I want I want Fox to just hold the line on this on this fascist noncompete joke with you, Murdoch's.",1736167,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I want I want Fox to just hold the line on this on this noncompete.,62b0e8841b9e4f974007ca98
"I want I want Fox to just hold the line on this on this fascist noncompete joke with you, Murdoch's.",1736167,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I want I want Fox to just hold the line on this on this noncompete. We're with you, Murdochs.",62b0e8841b9e4f974007ca98
I was watching CBS Sunday morning because I'm 75 years old this week.,1736178,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I was watching CBS Sunday Morning because I'm 75 years old this weekend.,62b0e8841b9e4f974007ca98
I was watching CBS Sunday morning because I'm 75 years old this week.,1736178,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I was watching CBS Sunday morning because I'm 75 years old this weekend.,62b0e8841b9e4f974007ca98
"I would be sitting there thinking, oh, my God, what else are they sitting on?",1736041,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I would be sitting there thinking, ""oh my God, what else are they sitting on?""",62b0e8841b9e4f974007ca98
"I would imagine if I said you had the face that you have when you're ready to introduce a bit to us, which I was really excited.",1735675,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I would have. Imagine if I just had a soundboard. You had the face that you have when you're ready to introduce a bit to us, which I was really excited.",62b0e8841b9e4f974007ca98
"I wouldn't say it unscrews the poll, but gives you reason to believe that it's less it's it's you can step a little bit.",1735630,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I wouldn't say it unskews the poll, but gives you reason to believe that it's less it's it's you can step a little bit.",62b0e8841b9e4f974007ca98
I was a Democratic super PAC out there.,1735901,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,If I was a Democratic super PAC out there.,62b0e8841b9e4f974007ca98
If it's a yellow lettumello.,1735925,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,If it's yellow let it mellow.,62b0e8841b9e4f974007ca98
If it's a yellow lettumello.,1735925,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"If it's yellow, let it mellow.",62b0e8841b9e4f974007ca98
"If you're not, if the press isn't saying something bad about you, you ain't doing anything any good.",1731133,ProlificP TR/DI/AD,Hunter Biden Bombshells plus Rep. Jim Jordan Joins Us for Deep Dive on Biden Crime Family Part 1,Verdict with Ted Cruz,en,politics,Confirm Edit,"If the press isn't saying something bad about you, you ain't doing anything any good.",614f70b55373b6760cb9d5c9
"If this call was bad, I questioned the election.",1736683,ProlificP TR/DI/AD,Trump’s CNN Clown Hall,Pod Save America,en,politics,Confirm Edit,"If this call was bad, I question the election.",5d54d5d907e8740018e56545
"If we get if we get either Joe Manchin or Kyrsten Sinema, one of them to not be an asshole and we required like, you know, 51 Democrats to be there or 50 Democrats to be there, plus Kamala Harris",1736279,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"If we get if we get either Joe Manchin or Kyrsten Sinema, one of them to not be an asshole and if we require like, you know, 51 Democrats to be there or 50 Democrats to be there, plus Kamala Harris",62b0e8841b9e4f974007ca98
I'm being I'm honest when I say it.,1735852,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I'm be I'm honest when I say it.,62b0e8841b9e4f974007ca98
I'm for you know what?,1736190,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,I'm for. But you know what?,62b0e8841b9e4f974007ca98
"I'm just so caught up on that, you know, previous comment about the Treasury.",1736084,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I'm just still caught up on that, you know, previous comment about the Secretary of the Treasury.",62b0e8841b9e4f974007ca98
"I really just dumbfounding that that's that's your independent swing voter for you, you know, and we love him.",1735607,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"I'm really just dumbfounded. That that's that's your independent swing voter for you, you know, and we love 'em.",62b0e8841b9e4f974007ca98
"In fact, he talked about this on offline.",1737087,ProlificP TR/DI/AD,Trump’s CNN Clown Hall,Pod Save America,en,politics,Confirm Edit,"In fact, he talked about this on Offline.",5d58d7d6280de7001aa7952a
"And record time, right?",1731712,ProlificP TR/DI/AD,Deep Dive into Hunter Biden & the Weaponization of the Federal Government: Part 2 with Jim Jordan,Verdict with Ted Cruz,en,politics,Confirm Edit,"In record time, right?",6070e23a3e478af6a585c330
"It also just seems somewhat naive or far-fetched to think that messaging from the US federal government officials at the DHS or wherever else is going to reach the people most likely to seek asylum in their states, especially when you have an entire industry that is making, an underground industry making money to try to get them north, right?",1737263,ProlificP TR/DI/AD,Trump’s CNN Clown Hall,Pod Save America,en,politics,Confirm Edit,"It also just seems somewhat naive or far-fetched to think that messaging from the US federal government officials at the DHS or wherever else is going to reach the people most likely to seek asylum in the United States , especially when you have an entire industry that is making, an underground industry making money to try to get them north, right?",5d58d7d6280de7001aa7952a
"It does seem like in the United States, immigration is a big emotional issue for conservatives.",1736511,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"It does seem like in the United States, immigration is a big emotional issue for Conservatives.",62b0e8841b9e4f974007ca98
It takes like five months to resolve them.,1732156,ProlificP TR/DI/AD,Deep Dive into Hunter Biden & the Weaponization of the Federal Government: Part 2 with Jim Jordan,Verdict with Ted Cruz,en,politics,Confirm Edit,It takes like five months to resole them.,6070e23a3e478af6a585c330
It was health care and it was the insurrection.,1735896,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,It was healthcare and it was the insurrection.,62b0e8841b9e4f974007ca98
It was just sort of slipped in as weird.,1735928,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,It was just sort of slipped in. It was weird.,62b0e8841b9e4f974007ca98
It's a lot of game theory.,1736119,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,It's a lot of game theory stuff.,62b0e8841b9e4f974007ca98
It's a question of whether he's on Newsmax or the non-compete tweet a video.,1736195,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,It's a question of whether he's on Newsmax or is it non-compete? Tweet a video.,62b0e8841b9e4f974007ca98
They're all relative.,1737014,ProlificP TR/DI/AD,Trump’s CNN Clown Hall,Pod Save America,en,politics,Confirm Edit,It's all relative.,5d58d7d6280de7001aa7952a
They constantly different at his clubs would be a great way to launder that money.,1735937,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,It's constantly different at his clubs would be a great way to launder that money.,62b0e8841b9e4f974007ca98
It's just such an awful human being.,1735853,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,It's just he's such an awful human being.,62b0e8841b9e4f974007ca98
"It's just something to think about, though it was it was vague, but still, they didn't get a thing, get Romney, Collins or Murkowski to sign on to that letter.",1736066,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"It's just something to think about, though it was it was vague, but still, they didn't get uh they didn't get Romney, Collins or Murkowski to sign on to that letter.",62b0e8841b9e4f974007ca98
"It's just something to think about, though it was it was vague, but still, they didn't get a thing, get Romney, Collins or Murkowski to sign on to that letter.",1736066,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"It's just something to think about. Though it was it was vague, but still, they didn't get they didn't get Romney, Collins or Murkowski to sign onto that letter.",62b0e8841b9e4f974007ca98
"It's like Ali Marrakis, God bless him, he gets everything he wants, but you can't even get people in the United States to hear that, let alone people in Honduras or somewhere else.",1737265,ProlificP TR/DI/AD,Trump’s CNN Clown Hall,Pod Save America,en,politics,Confirm Edit,"It's like Ale Mayorkas, God bless him, he gets everything he wants, but you can't even get people in the United States to hear that, let alone people in Honduras or somewhere else.",5d58d7d6280de7001aa7952a
It's true with stars that they can grab women by the pussy.,1735843,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,It's true with stars that they can grab women by the pussy?,62b0e8841b9e4f974007ca98
It's West it's Westworld all over and all over again.,1736126,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,It's West it's Westworld all over again.,62b0e8841b9e4f974007ca98
It's West it's Westworld all over and all over again.,1736126,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,It's Westworld. It's Westworld all over again. Westworld all over again.,62b0e8841b9e4f974007ca98
Janet Janet Yellen is just it's just just white knuckled on a toilet somewhere.,1736046,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,Janet Janet Yellen is just it's just just white-knuckling on a toilet somewhere.,62b0e8841b9e4f974007ca98
I think what I'm most interested in in all of this is which mainstream media outlets are willing to uncritically print everything Tucker's lawyer says bodies are buried.,1736169,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"Jokes aside, I think what I'm most interested in in all of this is which mainstream media outlets are willing to uncritically print everything Tucker's lawyer says bodies are buried.",62b0e8841b9e4f974007ca98
Jordan Cantor is our sound engineer with audio support from Kyle Seglin and Charlotte Landis.,1736645,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,Jordan Cantor is our sound engineer with audio support from Kyle Seglin and Charlotte Landes.,62b0e8841b9e4f974007ca98
Just the overall not.,1735847,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"Just the overall, not.",62b0e8841b9e4f974007ca98
Keep the faith jokes aside.,1736168,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,Keep the faith.,62b0e8841b9e4f974007ca98
Keep the faith jokes aside.,1736168,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"Keep the faith. Jokes aside,",62b0e8841b9e4f974007ca98
"L.A. dad to find over there was a little like, you know, those Statue of Liberty ones they sell at like the airport in New York.",1736344,ProlificP TR/DI/AD,Tucker’s War With Fox,Pod Save America,en,politics,Confirm Edit,"L.A. dad defiant over there. It was a little like, you know, those Statue of Liberty ones they sell at like the airport in New York.",62b0e8841b9e4f974007ca98
"Last night, Donald Trump participated in a 70 minute town hall with 400 Republican primary voters in New Hampshire, hosted by CNN, moderated by Kaitlin Collins.",1736669,ProlificP TR/DI/AD,Trump’s CNN Clown Hall,Pod Save America,en,politics,Confirm Edit,"Last night, Donald Trump participated in a 70 minute town hall with 400 Republican primary voters in New Hampshire, hosted by CNN, moderated by Kaitlan Collins.",5d54d5d907e8740018e56545
